scientific_name,count
Araucaria columnaris,368
Acacia confusa,366
Butia capitata,365
Chamaecyparis thyoides,362
Diospyros kaki,361
Ilex L.,361
Celtis reticulata,361
Umbellularia californica,356
Broussonetia papyrifera,352
Aesculus flava,352
Hibiscus,351
Chamaecyparis pisifera,351
Handroanthus chrysotrichus,348
Pittosporum tenuifolium,347
Parkinsonia florida,345
Quercus buckleyi,345
Feijoa sellowiana,344
Bucida buceras,342
Cordia sebestena,339
Delonix regia,337
Salix matsudana,336
Prunus pumila,335
Platanus orientalis,333
Ceanothus,331
Cupressus arizonica,330
Aesculus arnoldiana,325
Trachycarpus,325
Pinus strobiformis,324
Ostrya,318
Euphorbia tirucalli,311
Castanea mollissima,311
Aesculus Octandra,311
Quercus montana,310
Podocarpus henkelii,301
Corymbia maculata,301
Melaleuca ericifolia,298
Pittosporum phillyraeoides,294
Prunus armenica,294
Tabebuia berteroi,293
Coccoloba uvifera,293
Pinus aristata,291
Pinus echinata,291
Castanea,290
Prunus cerasus,289
Quercus pagoda,286
Asimina triloba,279
Filicium decipiens,279
Carya cordiformis,278
Diospyros,278
Cryptomeria japonica,276
Koelreuteria elegans,276
Quercus frainetto,276
Chionanthus,269
Sapindus saponaria,268
Ilex decidua,268
Plumeria,265
Pritchardia pacifica,265
Tsuga heterophylla,264
Fraxinus quadrangulata,262
Handroanthus avellanedae,260
Syringa vulgaris,260
Bauhinia,259
Juniperus monosperma,259
Crataegus ambigua,257
Laurus L.,252
Crataegus mollis,252
Malus pumila,247
Picea omorika,247
Populus canadensis,247
Cassia fistula,246
Acer leucoderme,245
Sophora secundiflora,245
Callistemon R.,243
Afrocarpus,242
Ficus Rding,240
Rhaphiolepis indica,240
Cercis reniformis,239
Eucalyptus L.,239
Aesculus pavia,239
Brachychiton populneum,238
Magnolia doltsopa,236
Ulmus davidiana,233
Styphnolobium affine,233
Pyrus ussuriensis,232
Crataegus L.,232
Platanus mexicana,231
Quercus warei,230
Pinus heldreichii,230
Salix alba,229
Prunus dulcis,227
Cassine orientalis,227
Acacia aneura,225
Gingko biloba,224
Laburnum anagyroides,222
Ligustrum ovalifolium,220
Citrus paradisi,220
Chrysophyllum oliviforme,218
Hamamelis virginiana,217
Magnolia loebneri,217
Sorbus americana,213
Abies balsamea,213
Phoenix reclinata,211
Chamaecyparis obtusa,210
Sophora,209
Strelitzia nicolai,209
Malus angustifolia,208
Sambucus caerulea,207
Quercus pagodifolia,207
Pittosporum viridiflorum,207
Eucalyptus lehmannii,205
Larix laricina,205
Ligustrum,204
Salix lasiolepis,204
Pittosporum eugenioides,204
Yucca elephantipes,201
Senna surattensis,200
Sorbus thuringiaca,199
Carya tomentosa,199
Tsuga,195
Liquidambar formosana,194
Thespesia populnea,194
Rhus,193
Cordia subcordata,193
Prunus padus,190
Zelkova,190
Abies fraseri,187
Quercus douglasii,187
Sideroxylon lanuginosum,185
Spathodea campanulata,181
Malus moerlandsii,180
Schefflera actinophylla,179
Pterocarpus dalbergioides,177
Ulmus wilsoniana,176
Geijera Schott,175
Calophyllum inophyllum,171
Callistemon pallidus,171
Magnolia liliflora,170
Aesculus californica,170
Fraxinus ornus,168
Chamaecyparis nootkatensis,168
Senegalia greggii,167
Thrinax radiata,167
Cornus racemosa,166
Cotoneaster,165
Acer paxii,165
Viburnum,165
Lagerstroemia fauriei,164
Pinus roxburghii,163
Larix,163
Araucaria araucana,162
Prunus incam,159
Tree,159
Ravenea rivularis,159
Aleurites moluccanus,159
Libocedrus decurrens,158
Juglans cinerea,157
Fagus grandiflora,156
Larix decidua,155
Melaleuca L.,154
Dalbergia sissoo,154
Ilex paraguariensis,153
Erythrina coralloides,152
Eucalyptus tereticornis,152
Swietenia mahagoni,150
Acacia pendula,149
Phoenix sylvestris,148
Heptacodium miconioides,147
Populus grandidentata,146
Eucalyptus microtheca,146
Leucaena leucocephala,145
Prunus serrula,145
Betula populifolia,142
Ceanothus L.,142
Clusia rosea,138
Not,138
Casimiroa edulis,138
Cecropia palmata,138
Ficus lyrata,136
Tamarix aphylla,136
Pinus glabra,133
Eucalyptus torquata,133
Acer glabrum,133
Xylosma,132
Malus zumi,132
Prunus maackii,131
Psidium guajava,131
Cotinus obovatus,131
Laburnum watereri,131
Metasequoia,130
Populus trichocarpa,130
Catalpa hybrida,130
Carya pecan,127
Acer japonicum,127
Fraxinus pennsylvanica 'Patmore',126
Quercus laevis,125
Erythrina crista-galli,125
Pyrus pyrifolia,124
Pyrus L.,124
Firmiana simplex,122
Betula jacquemontii,122
Corylus avellana,120
Rhus glabra,120
Ficus benghalensis,120
Lagerstroemia speciosa,119
Brahea armata,119
Tsuga mertensiana,117
Dracaena draco,116
Pinus banksiana,116
Aronia arbutifolia,115
Callicarpa americana,115
Arbutus L.,113
Picea engelmannii,112
Viburnum odoratissimum,112
Quercus incana,112
Fraxinus texensis,112
Roystonea,112
Schefflera,111
Koelreuteria Laxm.,111
Sorbus alnifolia,109
Musa paradisiaca,108
Caryota urens,107
Salix discolor,105
Castanea dentata,105
Stewartia,105
Abies homolepis,104
Prunus angustifolia,104
Quercus polymorpha,102
Eucalyptus grandis,101
Acacia auriculiformis,99
Halesia Ellis,99
Cascabela thevetia,98
Platanus wrightii,98
Crateagus,98
Stewartia monadelpha,98
Brugmansia,97
Handroanthus Mattos,97
Juniperus californica,97
Betula occidentalis,97
Hibiscus rosa-sinensis,96
Hakea suaveolens,96
Ilex altaclarensis,96
Styrax obassia,96
Cocculus laurifolius,95
Carica papaya,94
Ziziphus jujuba,94
Prunus emarginata,93
Euonymus,93
Fraxinus latifolia,93
Citharexylum spinosum,93
Pinus rigida,92
Citrus reticulata,92
Acoelorrhaphe wrightii,91
Gymnocladus dioica,91
Photinia,91
Brassaia actinophylla,91
Alnus hirsuta,91
Parkinsonia praecox,90
Cryptomeria,89
Cercis chinensis,89
Acer pensylvanicum,89
Alnus japonica,88
Tamarix ramosissima,87
Eucalyptus melliodora,87
Hydrangea,87
Davidia involucrata,86
Tournefortia argentea,86
Brachychiton discolor,84
Magnolia champaca,84
Tabebuia aurea,84
Cedrus libani,84
Quercus garryana,84
Acacia dealbata,83
Heritiera littoralis,82
Dypsis decaryi,82
Euonymus alatus,82
Fraxinus albicans,82
Unidentified,82
Tilia flavescens,82
Coccoloba diversifolia,81
Carya aquatica,81
Acer barbatum,81
Betula alleghaniensis,81
Casuarina stricta,80
Rhus laurina,80
Pinus muricata,80
Halesia,79
Juniperus sabina,79
Rhizophora mangle,79
Viburnum prunifolium,79
Macadamia integrifolia,79
Harpullia pendula,78
Pyracantha,78
Auranticarpa rhombifolia,78
Mangifera indica,77
Dracaena australis,76
Quercus georgiana,76
Sambucus,75
Sapindus,75
Catalpa longissima,74
Annona glabra,74
Lonicera,74
Myrcianthes fragrans,73
Prosopis pallida,73
Fraxinus profunda,72
Euonymus europaeus,71
Schinus polygamus,70
Roseodendron donnell-smithii,70
Persea borbonia,70
Morella cerifera,70
Phoenix rupicola,69
Sapindus drummondii,69
Pinus sabiniana,69
Pittosporum,69
Quercus kelloggii,68
Aesculus parviflora,68
Eucalyptus erythrocorys,68
Castanea sativa,67
Tilia mongolica,67
Loropetalum chinense,67
Abies grandis,66
Magnolia liliiflora,66
Quercus hemisphaerica,65
Olea europea,65
Casuarina,65
Carya laciniosa,64
Caragana arborescens,64
Prunus lusitanica,64
Frangula alnus,64
Rhus copallinum,63
Conus aurora,63
Corylus cornuta,62
Juniperus communis,62
Viburnum L.,62
Cerocarpus,62
Retama,62
Franklinia alatamaha,62
Betula lenta,62
Podocarpus,61
Eucalyptus pulverulenta,61
Shepherdia argentea,60
Viburnum rufidulum,60
Prunus mume,60
Camellia japonica,59
Psidium cattleianum,59
Eucalyptus calophylla,58
Quercus ellipsoidea,58
Leucaena glauca,58
Tilia europaea,58
Pritchardia,58
Pyrus salicifolia,58
Murraya paniculata,57
Tupidanthus calyptratus,57
Viburnum nudum,56
Paulownia kawakamii,56
Lycianthes rantonnetii,56
Tibouchina urvilleana,56
Pyracantha coccinea,56
Crataegus douglasii,56
Guaiacum officinale,56
Rhus aromatica,56
Myrtus communis,55
Gleditsia tricanthus,55
Tilia L.,55
Cydonia oblonga,55
Populus tremula,54
Trithrinax acanthocoma,54
Picea mariana,54
Abies procera,53
Styrax americanus,53
Erythrina lysistemon,53
Crataegus mordenensis,52
Ligustrum sinense,52
Ulmus hollandica,52
Plumeria rubra,52
Juniperus chinensis 'Torulosa',52
Peltophorum pterocarpum,52
Livistona,51
Zanthoxylum clava-herculis,51
Citrus aurantifolia,51
Viburnum japonicum,51
Tetradium daniellii,50
Sambucus mexicana,50
Kalmia latifolia,50
Citrus L.,50
Rhododendron sp.,49
Ulmus hybrid,48
Acacia saligna,48
Lantana horrida,48
Pinus patula,47
Acer triflorum,47
Quillaja saponaria,47
Hyophorbe lagenicaulis,47
Cinnamomum glanduliferum,47
Cinnamomum burmannii,47
Quercus schuettei,47
Juglans L.,47
Fortunella margarita,46
Azara,45
Sorbus hybrida,45
Noronhia emarginata,45
Bismarckia nobilis,44
Cornus nuttalli,44
Quercus chrysolepis,44
Tabebuia,44
Nyssa aquatica,43
Pinus cembra,43
Howea forsteriana,43
Pistacia L.,43
Olmediella betschleriana,43
Terminalia catappa,43
Tilia heterophylla,43
Carya illinoensis,43
Rhus copallinum var. latifolia,43
Betula platyphylla,42
Salix commutata,42
Araucaria,42
Pittosporum Gaertn.,41
Melia L.,41
Dodonaea Mill.,41
Sorbus aria,41
Photinia serrulata,41
Sambucus nigra,41
Halesia tetraptera,40
Dracaena,40
Ungnadia speciosa,40
Phellodendron sachalinense,40
Eugenia uniflora,40
Acacia cognata,40
Erythrina humeana,39
Pandanus tectorius,39
Taxodium mucronatum,39
Prunus nigra,39
Alnus tenuifolia,39
Nicotiana glauca,39
Ilex verticillata,39
Prumnopitys andina,39
Handroanthus ochraceus,39
Archontophoenix alexandrae,38
Pinus densiflora,38
Magnolia tripetala,37
Azara microphylla,37
Quercus bebbiana,37
Hibiscus tilliaceus,37
Psidium littorale,37
Serenoa repens,36
Caryota mitis,36
Sphaeropteris cooperi,36
Podocarpus nagi,36
Aesculus L.,36
Albizia lebbeck,36
Oxydendron arboreum,35
Pimenta dioica,35
Prunus pensylvanica,35
Musa acuminata,35
Picea meyeri,35
Acer davidii,35
Bambusa,35
Magnolia macrophylla,34
Quercus engelmannii,34
Parkinsonia microphylla,34
Eugenia,34
Cupressus nevadensis,33
Camellia,33
Beaucarnea recurvata,33
Araucaria bidwillii,33
Cotoneaster lacteus,33
Vitex lucens,32
Pseudopanax crassifolius,32
Bauhinia forficata,32
Yucca brevifolia,32
Tilia sp.,32
Markhamia lutea,32
Chionanthus chinensis,31
Picea orientalis,31
Hamamelis,31
Viburnum plicatum,31
Ulmus thomasii,31
Pinus clausa,31
Frangula caroliniana,31
Yucca recurvifolia,31
Pterocarya,31
Hamamelis intermedia,30
Viburnum tinus,30
Cotinus Mill.,30
Cupressus forbesii,30
Acacia longissima,30
Gleditsia tricanthos,29
Sambucus neomexicana,29
Camellia sasanqua,29
Albizia distachya,28
Ficus citrifolia,28
Phoenix,28
Forsythia,28
Arctostaphylos manzanita,28
Eucalyptus parvifolia,27
Morella carolinensis,27
