city,common_name,count,mean_h
Anaheim,Naked coral tree,4,No info on height
Anaheim,Natchez crape myrtle,15,No info on height
Anaheim,New tree site,1,No info on height
Anaheim,New zealand chaste tree,1,No info on height
Anaheim,New zealand christmas tree,179,No info on height
Anaheim,Nichols willow leafed peppermint,40,No info on height
Anaheim,No sewer/water marked w,3,No info on height
Anaheim,Norfolk island pine,19,No info on height
Anaheim,Not city planted/maintained,138,No info on height
Anaheim,Oak,25,No info on height
Anaheim,Obstruction at site w,1,No info on height
Anaheim,Oleander,35,No info on height
Anaheim,Olive,93,No info on height
Anaheim,Orange,9,No info on height
Anaheim,Orchid tree,4,No info on height
Anaheim,Oriental arborvitae,15,No info on height
Anaheim,Ornamental pear,254,No info on height
Anaheim,Osage orange,1,No info on height
Anaheim,Other tree,2329,No info on height
Anaheim,Palm,6,No info on height
Anaheim,Palo verde,1,No info on height
Anaheim,Paradise palm,3,No info on height
Anaheim,Peach,14,No info on height
Anaheim,Pecan,29,No info on height
Anaheim,Peppermint tree,51,No info on height
Anaheim,Peruvian pepper,17,No info on height
Anaheim,Pindo palm,12,No info on height
Anaheim,Pine,3,No info on height
Anaheim,Pink ball dombeya,2,No info on height
Anaheim,Pink bottlebrush,4,No info on height
Anaheim,Pink crape myrtle,23,No info on height
Anaheim,Pink flame tree,25,No info on height
Anaheim,Pink locust,5,No info on height
Anaheim,Pink melaleuca,11,No info on height
Anaheim,Pink powder puff,6,No info on height
Anaheim,Pink trumpet tree,228,No info on height
Anaheim,Pittosporum,3,No info on height
Anaheim,Plum,41,No info on height
Anaheim,Podocarpus nagi,4,No info on height
Anaheim,Pomegranate,1,No info on height
Anaheim,Ponderosa pine,6,No info on height
Anaheim,Ponytail palm,1,No info on height
Anaheim,Poor planting site,6,No info on height
Anaheim,Poplar,7,No info on height
Anaheim,Prickly melaleuca,1,No info on height
Anaheim,Primrose tree,1,No info on height
Anaheim,Privet,3,No info on height
Anaheim,Property owner refused tree w,2,No info on height
Anaheim,Purple acacia,5,No info on height
Anaheim,Purple crape myrtle,3,No info on height
Anaheim,Purple orchid tree,41,No info on height
Anaheim,Purple robe locust,19,No info on height
Anaheim,Pygmy date palm,69,No info on height
Anaheim,Queen palm,1706,No info on height
Anaheim,Queensland umbrella tree,3,No info on height
Anaheim,Raywood ash,11,No info on height
Anaheim,Red crape myrtle,6,No info on height
Anaheim,Red flowering gum,28,No info on height
Anaheim,Red flowering redbud,1,No info on height
Anaheim,Red gum,16,No info on height
Anaheim,Red ironbark,860,No info on height
